video_id,title
vs_12288,Dog chases toy across
vs_12292,Soldier performs martial arts move on woman
vs_12296,US Rachel Garren promotes boating safety at the St. Louis Boat & Sportshow
vs_123,Black Ops Zombies: Mystery Box Hack
vs_1230,Easter basket grass: paper product vs. plastic grass comparison
vs_12300,Pilot and Gus Play Soccer
vs_12301,Little boy dances hip-hop with instructor
vs_12307,Robinson Cano'ss Home Run Derby Catch
vs_12308,Firefighters rescue boy stuck in vending machine
vs_1231,"Man walks down sidewalk, then person follows, then man stops, then person exits frame"
vs_12312,Teen jumps on trampoline fails repeatedly
vs_12313,AMA Pro Road Racing Bike Night 2013
vs_12316,18k Gold Split Shank Diamond Halo Engagement Ring Showcase
vs_1232,Ship launches into sea successfully
vs_12321,Dogs playfully interact in cluttered room.
vs_12328,Dog plays with rabbit on leash
vs_12329,Santa interacts with child in festive setting
vs_1233,Red Kitchen Warriors Win Big Sandwich Competition
vs_12330,Fixing Refrigerator Ice Maker: A Simple Guide
vs_12332,"Boy hangs from building, part-time cop saves him"
vs_12333,Players clash during soccer match
vs_12335,"Car flips over highway, bystanders rushes"
vs_12336,Woman trains Dalmatian to jump through hula hoop
vs_12337,"Man dances in car dealership showroom, gets high-five from colleague."
vs_1234,Man discusses earning money through legitimate methods.
vs_12345,Cat chases laser pointer down hallway
vs_12349,Roadside memorial for victims of speeding accident
vs_12355,Muslims caught trying to climb West Bank wall
vs_12358,Man runs down beach slope towards water.
vs_12359,Pickup truck drives away from field along rural road
vs_1236,Teenagers play basketball in backyard
vs_12360,Duty Wine Dance Routine Demonstration
vs_12361,Dogs playfully fight in fenced area.
vs_12362,"Children sing ""Happy Birthday"" to George W. Bush"
vs_12365,Feedinging a baby flying fox with a pacifier
vs_12366,Switching a kitten from canned to dry food
vs_12367,"Parrot sings ""Happy Birthday"" repeatedly"
vs_12369,Child and dog play in inflatable pool
vs_1237,"Talking cat sings ""Happy Birthday"
vs_12371,National Action Network Youth Rally to Save Post Offices
vs_12374,Puppy plays with stuffed toy on lap
vs_12375,"Man walks across street, cars drive by."
vs_12376,Dog Climbs Rock Wall and Falls
vs_12379,Concrete truck drives through construction site with extended chute.
vs_1238,Puppy chlops while chasing ball
vs_12381,Skier falls down steep mountain slope
vs_12383,Man uses pressure washer on driveway
vs_12384,Lego City Cement Mixer Construction Scene
vs_12385,Child rides dirt bike across
vs_12390,Dogs playfully chase each other on beach
vs_12399,Tour of a small apartment with bedroom and living area
vs_12401,Pickup truck stuck in muddy forest road rescue attempt
vs_12402,"Motorcycle crashes into burning car, rescuers save lives"
vs_12404,Man falls from truck bed while standing on tailgate
vs_12406,Woman performs on stage with dancers and crowd interaction
vs_12407,Kevin DeRont's 303-pointersrs in a row: Legit or fake?
vs_12408,"Flatbed trailer disconnects, kills driver on south of Highway 10."
vs_1241,Man jumps off helicopter crashes into building
vs_12411,Pillow shrink wrapper machine demonstration
vs_12420,"Man falls down escalator, crowd reacts"
vs_12422,Drones fly over indoor soccer field during game
vs_12425,Worker pushes bicycle into construction site dumpster
vs_12426,"Woman runs across street, car stops abruptly"
vs_12427,High School Girls 400m Dash
vs_12428,Dog carries large can of soda around house
vs_12429,"Man walks towards house, dog runs away."
vs_12430,"Woman chued as pit bulls chase her, 60-year-old runs for help"
vs_12431,Dog Training Session with Sit Up N Listen
vs_12434,Apple Cider Vinegar Diet Cleanse: Lose Up to 7 lbs
vs_12435,LED Strobe Light Demonstration
vs_12436,Poodle Grooming Tutorial: Curve Blade Technique
vs_12437,Sam Bridgman graduates from University of Portland despite Friedreich'ss Ataxia
vs_12438,Woman discusses safe meat thawing methods
vs_12439,Driver follows white RV on highway
vs_12441,MIS Ethernet Installation Overview
vs_12443,Stunt Driver Dave Ackland Breaks Guinness World Record 15th March 2008
vs_12445,Dog jumps into land inside suitcase
vs_12447,Create a Kids' Dress with Simple Steps
vs_12448,French Ambassador Celebrates French Day in Ireland
vs_12449,"Mom gives birth, throws newborn in trash can"
vs_12450,"The Bling King 24"" 20mm 24k Gold Plateded RUN DMC Rope Necklace"
vs_12451,"Red SUV stuck in muddy field, driver struggles to free "
vs_12452,Modern Elevated Pet Feedingers Station Showcase
vs_12453,Child jumps on trampoline with toy microphone
vs_12455,Jeep flips over military convoy maneuvers through muddy forest path
vs_12456,Woman checks tire pressure in car dealership showroom.
vs_12459,Chef prepares fat-free honey mustard dressing
vs_1246,Bounce Rentals 4 You Ad
vs_12462,Whole Wheat Grain Pasta with Healthy Veggies
vs_12466,"Motorcycle rider speeds down road, overtakes others"
vs_12468,Woman attacked at gas station by man with umbrella
vs_12469,Red Dog Battles the Hose Monster
vs_1247,Bear swimming in mountain lake
vs_12473,Garbage truck gets stuck in snow next to car
vs_12476,Suspect seen in surveillance footage of sexual assault case
vs_12478,"Fan catches ball, boy claps, dad throws ball back"
vs_12479,Will Claye Triple Jump NCAA Automatic Qualifier
vs_1248,Man in black shirt throws object at car
vs_12482,Protestersers Marchersers Occupy LA! Protests
vs_12486,Motorcycle rider navigates through snowy forest trail
vs_12487,Man attacks car with bat on highway
vs_12488,Open Wheeler Racing Seat Simulator Review
vs_12489,Woman performs step aerob
vs_12490,Interior Design Showcase of Modern Spaces
vs_12493,"Monster truck crashes into sheriff's cars, destroying fleet"
vs_12495,Children play in shallow water near lake
vs_12497,K-pop concert crowd cheers in darkness
vs_12498,Worker uses floor cleaning machine in checkered floor area
vs_12499,Teacher Pranked by Blindfolded Half-Court Shot
vs_1250,AAA Painting & Remodeling: Full Service Painting & Remodeling
vs_12500,Helicopter drops water fire bucket amidst smoke
vs_12505,Pickup truck drives through muddy waterway
vs_12507,Girl dances while friend sprays
vs_12508,Dancers perform on basketball court during halftime
vs_12510,ATV struggles through muddy trail with driver assistance
vs_12511,Person walks down porch steps at night.
vs_12514,"Child plays with laptop, watches videos, laughs."
vs_12515,"Car crashes into telephone pole in Chelmsford, Massachusetts"
vs_12516,"Driver loses control, crashes into tree in heavy snowstorm"
vs_12517,Person throws rock at truck on road
vs_12519,ILVE Compact Multi-Function Oven Demonstration
vs_1252,"Claycoo, Inc. showcases NO-COAT construction benefits"
vs_12520,Puppy plays with door on leash
vs_12521,Santa Claus and Spider-Man Surprise Kids with Christmas Gifts
vs_12522,Signature Master Bathrooms by Stanton Homes
vs_12525,Dogs Playing Fetch in Backyard
vs_12527,Pit Bulls Attack and Kill Pet Cat
vs_12528,Cat takes bath in tub with owner's encouragement
vs_12531,Car flips over demolition derby
vs_12534,Red pickup truck drives through wooded area with trailer attached
vs_12535,"Crocodile takes bubble bath, water ducks float away."
vs_12538,Biscuits move through automated sorting machine
vs_1254,Woman dances happily after junk removal service.
vs_12540,Driver sings while driving bus through rural road
vs_12541,Cat plays with pipe in workshop
vs_12544,Mill Creek Police Department Traffic Stop with Epic License Plate
vs_12545,"Group of friends gather around campfire, laughing and enjoying night."
vs_12546,Dunkin' Donuts for Life: Free eBook Tutorial
vs_12547,Sea otters playfully interact underwater.
vs_12548,Sewing Tutorial: Attaching Buttons to Fabric
vs_1255,Player scores touchdown in high school football game
vs_12550,Skier falls while skiing down downhill
vs_12552,Inspecting Wayne Dalton Classic Drive Garage Door Opener Setup
vs_12555,Trick-n-Spill: Halloween Slot Game
vs_12556,Mom teaches baby to swim in pool
vs_12558,Baby being fed yogurt with spoon
vs_1256,Woman dances joyfully in towel-wrapped head indoors
vs_12560,Draw Facebook Adtraction: MamaBargains.com
vs_12563,Person pets relaxed cat in cozy bed
vs_12565,Man discusses home security measures outside police investigate incident.
vs_12567,How Zac Roesler makes Brazil nut milk
vs_12569,Man pushes shopping cart into customer in store
vs_1257,Cat trapped inside plastic bag in grass
vs_12570,Car on fire on highway at night
vs_12571,Man hits friend with water during backyard game
vs_12572,Pottery Barn Kids Design Studio: Inspiration to Installation
vs_12573,Batman in Real Life: The Dark Knight Rises
vs_12577,Pencil character dances with rainbow in space space sky
vs_12578,Toy Bulldozer Picks Up Pennies
vs_12581,Dog Moved to Rescue After Attack
vs_12582,Dololphin Carrying Dead Calf
vs_12587,Bossc Hood with EcoSensor LED Illumination Demonstration
vs_12588,Five-year-old girl hit by car after being
vs_1259,Puppies playfully chase each other up stairs.
vs_12592,"Man in striped shirt breaks statue, runs away."
vs_12595,Deputy Kills Pit Bull
vs_12597,Boy falls off trampoline landing
vs_12598,Woman and pets attacked by suspect on Ridgewood Ave.
vs_12599,Biker jumps off boat into water water
vs_1260,Person pours liquid into shower
vs_12602,Woman performs high-knee shuffle dance on hillside.
vs_12608,Man cleans ketchup and mustard stains with cleaning products
vs_12614,Dynamic Duo Clean Windows: Satisfaction Guaranteed
vs_12615,Sewing human hair extensions using
vs_12617,Clown interacts with German Shepherd at crowd watches.
vs_12619,Toddler climbs playground structure with assistance
vs_1262,Race car flips over driver escapes safely
vs_12622,Driver's hand briefly obscures camera lens while driving.
vs_12624,Skateboarding Trick Tips: Transition Rail Scoop
vs_12625,How Best Suit for Apple-Shaped Body Type
vs_12626,Inspecting a Norwesco Galvanized Steel Bucket
vs_12628,Boxerers celebrates victory over ring
vs_1263,Woman speaks at audience listens
vs_12631,Police chase ends with crash and arrest
vs_12632,Create a Mother's Day card for dog lovers!
vs_12633,2000 Jeep Grand Cherokee for Sale
vs_12634,Twin Babies Dancing in Kitchen
vs_12638,Adding chopped red onion to salad mixture
vs_12640,Woman in pink top poses outdoors.
vs_12643,Person uses water pump to fill bucket
vs_12644,Mother's Day Poems and Gift Ideas
vs_12645,Person drives through snowy night with flashing lights
vs_12647,WSU College of Education Science Field Day
vs_12648,Raccoon steals cat food from bowl
vs_12650,Children perform exercises routine in gym.
vs_12651,"Woman gives birth on airplane, baby cries"
vs_12653,Mechanic inspects engine of red Land Rover
vs_12654,John Schepps discusses home warranties and buyer/seller responsibilities.
vs_12655,Pomeranian puppy plays with stuffed toy on floor
vs_12656,Pickup truck pulls trailer down dirt track
vs_12662,Seven-year-old boy handcuffed in Bronx police station
vs_12663,Pedestrian hit by car in busy intersection
vs_12664,Man in striped shirt discusses fails in office setting
vs_12666,Sun partially obscured by large car
vs_12667,Man loads classic car onto trailer
vs_1267,Creating a wood textured tunnel for breeding fish
vs_12672,Learn The Danger of Commercial Pet Food and Make Your Own Dog Food
vs_12673,Toilet flushing sound captured
vs_12675,Mountain biking through terrain park obstacles
vs_12676,Colonel Meow Surpasses 25 Million Likes on Facebook
vs_12678,Car drives past tree branch blocking road
vs_12679,Good Burger: Hamburger Mascots Dance
vs_12680,Pink Star diamond sells for record-breaking $68 million
vs_12681,Learn to Paint and Restore Your Car...
vs_12683,Kitty Boomba escapes from aomorphic trap.
vs_12684,"Jeep stuck in forest, drivers stuck behind tree"
vs_12685,Man sweeping wet floor in garage
vs_12686,Gunshots heard near riverbank
vs_12687,Business leaders enjoy ice cream cones at a factory.
vs_12689,"Teaching puppy not eat dirt: cover treat, cover, leave it."
vs_12690,Crystal jewelry set rotates on displayyx stand
vs_12692,Interior Design Showcase of Modern Living Spaces
vs_12693,Replacing Refrigerator Shelf Bucket
vs_12694,Teen performs backflip on trampoline
vs_12695,Puppies Playing Fetch in Park
vs_12696,Mad Sad Crazy Ass Eatinging The Poor Dog
vs_12697,Crowd erupts in celebration at trackside
vs_12699,Craft Women's PXC High Performance Running Jacket
vs_127,Baby laughing uncontrollably
vs_1270,Skier jumps off off ski ramp into water water
vs_12700,Yellow line traces rugged terrain in 3D map view GuidIdGa
vs_12701,Biker rides over over ramp in field
vs_12703,Man performs backflip on trampoline while friends watch
vs_1271,Camper Coffee Co. @ B Buckerell Lodge
vs_12710,Man discusses and demonstrates battery cable maintenance.
vs_12712,Seattle Snow Storm: Weather Delay in Effect
vs_12714,Man performs ring dips and pull-ups in gym.
vs_12715,Left Handed Newsboy Front Post DC Knitting Tutorial
vs_12716,3 Handle Tub & Shower Faucet Conversion
vs_12717,Puppy interacts with car tire and person's feet
vs_12718,"Pickup truck pulls heavy trailer, dust rises"
vs_12719,Group takes selfie outside Palace of Fine Arts Theatre sign
vs_1272,Man discusses job changes post-town hall event.
vs_12720,Birthday cake with candles on table
vs_12721,Basketball player makes impressive dunk
vs_12725,San Francisco Giants Parade Celebration
vs_12727,Child's bicycle with training wheels parked against green fence.
vs_12729,Worker operates large forging machine with glowing metal
vs_1273,Farm Frenenz 3: American Pie Game Overview
vs_12730,Woman drives away in stranger's car
vs_12733,Cat chatters at paper ball
